input_ids	input_mask	input_type_ids	label_ids
[101, 1000, 1038, 1000, 1998, 1000, 1039, 1000, 5918, 1010, 2017, 2064, 6807, 1998, 5959, 3166, 1005, 1055, 7953, 1012, 1040, 1007, 2000, 3929, 5959, 1996, 3185, 2017, 2442, 2293, 2308, 2066, 11382, 12096, 2098, 24654, 3367, 1010, 2040, 2003, 2061, 3019, 1010, 4086, 1998, 27149, 1012, 1041, 1007, 2017, 2442, 19837, 5541, 1010, 1037, 2210, 11463, 2319, 9905, 10415, 2111, 2007, 2307, 1998, 9487, 12857, 2065, 2017, 3113, 2035, 2122, 5918, 2017, 1005, 2222, 2022, 3497, 2000, 3446, 2023, 3185, 2379, 2184, 2685, 1012, 1045, 2196, 4191, 2431, 1006, 999, 1007, 2004, 2172, 2004, 2013, 3666, 2023, 17743, 1012, 1998, 1045, 2130, 3266, 2000, 5390, 2096, 5870, 1999, 2070, 5312, 1006, 1045, 2467, 2131, 7591, 1010, 7188, 2204, 2477, 4148, 2000, 11382, 19020, 24654, 3367, 1007, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
[101, 2757, 1000, 3084, 2053, 3168, 18971, 1012, 9467, 7699, 13842, 5848, 1006, 3021, 4139, 2386, 1010, 3021, 27765, 1007, 1010, 17523, 2105, 2066, 2027, 2024, 1999, 1037, 1000, 3419, 1998, 6128, 1000, 9476, 2006, 5648, 1012, 2045, 2003, 11265, 25394, 18507, 2839, 2458, 1012, 2009, 3432, 4627, 8218, 1996, 1000, 4326, 4094, 1000, 1010, 2127, 14463, 2075, 1999, 2561, 8488, 1012, 2079, 2025, 2131, 8631, 2046, 2023, 2138, 1997, 1996, 2682, 2986, 5889, 1012, 2027, 2024, 2445, 2498, 2000, 2147, 2007, 1010, 1998, 2017, 2097, 2022, 6603, 2054, 1005, 1055, 2183, 2006, 2802, 1996, 2972, 1010, 24257, 5594, 2781, 1012, 1045, 3811, 16755, 9992, 1000, 4167, 2757, 1000, 2012, 2035, 5366, 1010, 4983, 2017, 2024, 2046, 17501, 2115, 4167, 2046, 2561, 14652, 1012, 1011, 21442, 2243, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	1
[101, 10243, 7229, 1998, 1037, 2204, 1010, 24577, 1000, 2125, 1000, 1011, 1996, 1011, 3341, 12631, 22084, 2099, 2031, 2070, 2204, 3210, 1007, 1012, 2026, 2069, 6187, 14762, 2003, 2008, 3246, 4482, 1010, 2652, 1996, 2821, 1011, 2061, 1011, 23691, 2564, 1006, 1000, 2064, 1045, 2156, 2115, 3282, 1029, 1000, 1007, 2987, 1005, 1056, 3711, 2062, 2411, 1024, 2016, 2071, 2031, 2042, 1037, 8348, 15534, 17910, 2000, 2122, 2273, 1012, 2023, 3185, 2003, 2066, 1037, 22640, 7983, 1024, 2009, 3248, 2007, 1996, 4378, 1010, 2096, 1000, 2183, 2005, 1037, 3102, 1000, 1012, 1996, 4566, 2003, 12476, 2138, 1037, 9994, 1006, 2007, 1037, 3893, 7191, 999, 1007, 19391, 1024, 2023, 2003, 1037, 10424, 8625, 4588, 1010, 15762, 1998, 4569, 3185, 1010, 2029, 2515, 10107, 1037, 2898, 4378, 1012, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
[101, 13802, 2282, 1012, 2002, 3685, 4019, 1010, 2009, 1005, 1055, 2074, 2066, 1999, 3827, 1012, 6057, 2518, 2003, 1010, 2026, 3611, 2036, 2018, 1037, 3899, 2006, 2604, 1010, 2174, 1010, 2057, 2156, 2129, 20578, 2386, 2292, 2032, 21392, 1999, 1996, 2491, 2282, 1012, 2023, 2003, 2025, 2589, 1010, 2412, 1012, 2026, 3611, 12176, 2035, 1996, 6752, 1996, 3899, 2081, 11210, 2002, 2001, 1012, 20578, 2386, 1998, 2899, 2191, 1996, 2093, 3340, 2023, 3185, 2003, 5827, 2005, 1010, 2035, 1996, 2717, 2003, 12065, 1008, 1008, 1056, 1012, 2043, 2057, 2079, 2113, 2008, 2603, 2111, 2020, 2145, 4142, 2006, 1996, 12849, 2545, 2243, 1010, 2023, 2143, 4152, 2019, 4469, 9812, 1012, 2065, 2017, 2215, 2000, 2156, 1037, 2613, 10874, 2055, 1037, 6982, 9278, 1024, 22794, 2015, 4049, 1012, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	1
[101, 2040, 7566, 2066, 2070, 4066, 1997, 9667, 1012, 2002, 2074, 15288, 2033, 2039, 1012, 2130, 1996, 3494, 2171, 1006, 28137, 1007, 2003, 6057, 1012, 1996, 4566, 1010, 1999, 2029, 23739, 1005, 1055, 2839, 2001, 3140, 2000, 2079, 2242, 2002, 2641, 3308, 2130, 2295, 2002, 2001, 2725, 2009, 2005, 2035, 1996, 2157, 4436, 1010, 2499, 2005, 2033, 2004, 2092, 1012, 1045, 3530, 2007, 2339, 2002, 2371, 2002, 2018, 2000, 2054, 2002, 2106, 1010, 1998, 1045, 5319, 2339, 2002, 2481, 1005, 1056, 3243, 4863, 2009, 1012, 1996, 4471, 2023, 3185, 3084, 2003, 1037, 2204, 1998, 7015, 2028, 1010, 1996, 17363, 1006, 3574, 1996, 2160, 1007, 2003, 3376, 1010, 1998, 1996, 3772, 2003, 1996, 6581, 1012, 3422, 2023, 3185, 2065, 2017, 2412, 2131, 1037, 3382, 1012, 1023, 1013, 2184, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
[101, 1997, 2068, 1012, 2021, 2023, 3459, 2074, 4152, 2011, 5613, 1010, 2515, 1037, 1000, 3835, 1000, 3105, 4823, 2021, 3904, 1997, 2068, 12125, 2028, 2978, 1012, 1999, 2755, 1010, 2298, 2039, 1996, 3459, 2006, 10047, 18939, 1011, 3904, 1997, 2068, 2428, 2253, 2006, 2000, 2079, 2505, 2172, 1012, 1006, 7929, 1010, 7929, 1010, 9965, 3557, 2496, 24665, 26327, 4801, 1011, 2016, 9953, 1007, 1012, 2061, 2023, 5988, 3345, 13088, 11012, 2515, 2025, 5425, 2005, 2028, 2117, 1996, 3894, 1010, 1996, 15561, 1010, 1996, 6896, 1997, 1996, 2754, 3315, 1012, 1037, 2561, 4894, 1011, 2041, 999, 1006, 2021, 2130, 2295, 2027, 3046, 2000, 15488, 14573, 2121, 1996, 2189, 1011, 1996, 2307, 2189, 2145, 9466, 2039, 2012, 2335, 1998, 15537, 2111, 2129, 2307, 1996, 3556, 2001, 1007, 1012, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	1
[101, 2010, 2751, 1011, 3067, 27902, 2449, 1025, 17096, 4241, 2912, 14270, 8040, 11614, 2075, 2198, 5003, 27406, 2100, 2005, 6316, 12243, 2075, 2007, 2010, 3076, 1999, 1996, 4438, 2240, 2055, 14975, 2015, 2007, 2522, 1011, 3667, 1024, 1000, 2123, 1005, 1056, 14021, 1011, 1056, 2073, 2017, 4521, 999, 1000, 1025, 6266, 9932, 15350, 2012, 2010, 5996, 2388, 1005, 1055, 19475, 1025, 9473, 7980, 1000, 2635, 1000, 24188, 2004, 1996, 9680, 11244, 1997, 2019, 9342, 2061, 11650, 1999, 1996, 4281, 999, 2045, 2024, 1997, 2607, 2116, 2307, 6298, 22092, 1010, 2426, 2068, 21876, 1006, 2119, 4617, 1010, 2021, 2926, 1996, 14166, 22004, 1013, 15462, 22132, 8445, 1013, 2520, 9988, 2434, 1007, 1025, 2043, 4302, 2777, 8836, 1025, 1996, 4545, 1012, 3904, 3243, 19635, 23377, 16344, 12722, 999, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
[101, 2151, 2613, 1000, 1062, 2075, 1000, 1010, 18345, 2612, 2006, 2116, 5019, 2008, 2097, 4025, 27550, 2000, 1996, 2004, 24518, 2396, 1011, 2160, 13972, 1012, 1996, 2143, 3397, 1037, 9210, 1997, 5312, 1997, 11591, 21014, 28850, 1010, 6854, 1010, 2027, 10107, 1037, 2143, 11007, 1997, 2037, 11067, 1012, 2205, 2601, 2000, 2022, 1037, 2601, 4038, 1998, 2000, 2422, 2000, 2022, 1037, 3809, 3689, 1010, 21092, 14380, 2097, 2681, 2116, 5328, 4487, 21748, 25099, 2094, 1998, 4821, 4487, 28745, 15532, 14782, 1012, 2017, 2089, 4756, 1010, 2021, 2122, 5312, 2097, 2022, 2261, 1998, 2521, 2090, 13463, 1037, 2712, 1997, 8871, 2041, 4586, 3561, 12793, 1998, 1037, 9428, 10866, 2186, 1997, 3902, 12271, 1012, 1037, 7015, 3947, 1010, 4821, 2589, 1999, 2011, 3768, 1997, 7984, 2522, 21471, 1012, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	1
[101, 2014, 1012, 2016, 3084, 2017, 2729, 2061, 2172, 2055, 2023, 2839, 2008, 2017, 2215, 2000, 2156, 2014, 2147, 2014, 2126, 2041, 1997, 2023, 5325, 1997, 1996, 3969, 1012, 1998, 2023, 2003, 2054, 4324, 2115, 3086, 2005, 1996, 1016, 2847, 1998, 2382, 2781, 2770, 2051, 1012, 1996, 2143, 2003, 9969, 13823, 2012, 2335, 1998, 5942, 5377, 3086, 1010, 2021, 3087, 2007, 3037, 1999, 2204, 2143, 1011, 2437, 1998, 2307, 3772, 2097, 2022, 14610, 1012, 2619, 2842, 2056, 2008, 2023, 2003, 1037, 3185, 2005, 2111, 2040, 2293, 5691, 1012, 2035, 2500, 2022, 18921, 9028, 7228, 1012, 6148, 2041, 3098, 2305, 2065, 2017, 1005, 2310, 2196, 2464, 2009, 1012, 3071, 1999, 2009, 2003, 6581, 1010, 1998, 2009, 1005, 1055, 2028, 1997, 16220, 10696, 14581, 1005, 1055, 2190, 3152, 1012, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
[101, 12885, 7365, 2185, 1998, 6010, 2039, 2007, 1037, 2767, 2008, 2387, 2009, 2035, 1012, 2043, 2356, 2054, 4148, 2002, 2758, 20857, 2135, 1000, 4457, 2011, 7942, 1010, 2498, 3809, 1012, 1000, 1010, 2004, 2065, 2023, 2003, 2069, 1037, 2210, 2062, 10990, 2084, 1037, 4257, 12824, 1012, 1045, 3844, 2009, 2125, 2043, 2027, 2175, 2000, 3198, 2242, 1011, 1037, 5698, 2030, 2242, 1010, 1045, 3030, 11922, 1011, 1037, 10861, 2015, 10163, 1012, 1996, 3437, 2064, 2069, 2022, 12524, 2041, 1997, 2619, 2007, 1996, 2943, 1997, 2037, 2331, 1010, 1998, 1996, 5011, 3422, 1999, 2054, 3544, 2000, 2022, 13727, 17466, 2004, 1037, 2158, 2003, 23509, 2039, 1998, 5112, 1998, 2027, 3198, 2010, 27042, 2075, 1010, 5996, 2303, 3160, 1012, 1014, 2041, 1997, 1008, 1008, 1008, 1008, 3340, 1012, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	1
